Name	Nick
PHILOMENA	MENA
PHILOMENA	MINA
PHLIPINA	PENIE
PHLIPINA	PHOEBE
PLEASANT	PLES
POCAHONTAS	POKEY
POSTHUMA	HUMEY
PRESCOTT	PRES
PRESCOTT	SCOTT
PRISCILLA	CILLA
PRISCILLA	PRISSY
PRUDENCE	DENSY
PRUDENCE	PRUDY
QUINTON	QUINT
RACHEL	RAE
RACHEL	RAECH
RACHEL	RAY
RAMONA	MONA
RANDOLPH	DOLPH
RANDOLPH	RANDALL
RANDOLPH	RANDY
RAPHAEL	RAFF
RAPHEL	RAPH
RAYMOND	RAMIE
RAYMOND	RAY
RAYMOND	RAYE
RAYMOND	REY
REBECCA	BECCA
REBECCA	BECK
REBECCA	BECKY
REBECCA	REBA
REGINA	GINA
REGINA	RAY
REGINALD	REG
REGINALD	REGGIE
REGINALD	REGGY
REGINALD	REYNOLD
REUBEN	RUBE
REUBEN	RUBY
REYNOLD	REGINALD
RHODA	RODIE
RHODELLA	DELLA
RICHARD	DICK
RICHARD	DICKEY
RICHARD	DICKIE
RICHARD	DICKY
RICHARD	RIC
RICHARD	RICH
RICHARD	RICHIE
RICHARD	RICK
RICHARD	RICKIE
RICHARD	RICKY
RICHARD	RITCH
RICHARD	RITCHE
RICHARD	RITCHIE
ROBERT	BOB
ROBERT	BOBBY
ROBERT	RBT
ROBERT	ROB
ROBERT	ROBBIE
ROBERT	ROBBY
ROBERT	ROBE
ROBERT	ROBER
ROBERT	ROBIE
ROBERT	ROBR
ROBERT	ROBT
RODNEY	ROD
RODNEY	RODDY
ROGER	HODGE
ROLAND	ORLANDO
ROLAND	ROLLIE
ROLAND	ROLLO
ROLAND	ROLLY
ROLAND	ROWLAND
ROMEY	ROM
ROMEY	ROMIE
ROMEY	ROMMIE
ROMEY	ROMMY
ROMEY	ROMY
RONALD	RON
RONALD	RONIE
RONALD	RONNEY
RONALD	RONNIE
RONALD	RONNY
ROSEMARY	ROSIE
ROSEMARY	ROSSIE
ROZANE	ROXIE
RUBY	RUBIE
RUDOLPH	DOLF
RUDOLPH	DOLPH
RUDOLPH	ROLF
RUDOLPH	ROLLO
RUDOLPH	ROLPH
RUDOLPH	RUDDY
RUDOLPH	RUDIE
RUDOLPH	RUDY
RUFINA	FINA
RUSSELL	RUSS
RUSSELL	RUSTY
RUTH	RUTHIE
SALLY	SADIE
SALLY	SAL
SALLY	SALLIE
SALVADOR	SAL
SAMPSON	SAM
SAMSON	SAM
SAMUEL	SAM
SAMUEL	SAMIE
SAMUEL	SAML
SAMUEL	SAMMIE
SAMUEL	SAMMY
SANDRA	ALEXANDRA
SANDRA	SANDIE
SANDRA	SANDY
SARAH	SADIE
SARAH	SAL
SARAH	SALLIE
SARAH	SARA
SARAH	SURRY
SCOTT	SCOTTIE
SCOTT	SCOTTY
SERILLA	RILLA
SHELBY	SHELBIE
SHELDON	SHELLY
SHELLEY	SHELLIE
SHEPARD	SHEP
SHERIDAN	DAN
SHERIDAN	DANNY
SHIRLEY	SHERLIE
SHIRLEY	SHIRL
SIBBILLA	SIBBIE
SIDNEY	SID
SIGMOND	SIG
SILAS	SI
SIMEON	SIM
SIMEON	SIMON
SIMON	SIM
SIMON	SIMMIE
SMITH	SMITTY
SOLOMON	SAL
SOLOMON	SALMON
SOLOMON	SOL
SOLOMON	SOLLIE
SOLOMON	SOLLY
SOLOMON	ZOLLY
SOPHIA	SOPHIE
SOPHRONIA	FRONA
SOPHRONIA	FRONIA
SOPHRONIA	SOPHIA
STANLEY	STAN
STEPHAN	STEVE
STEPHAN	STEVEN
STEPHANIE	STEPH
STEPHEN	STEVE
STEPHEN	STEVEN
STEVEN	STEFFEY
STEVEN	STEVE
SULLIVAN	SULLY
SUSAN	SUE
SUSAN	SUSE
SUSAN	SUSIE
SUSAN	SUSY
SUSANA	SUSANNA
SUSANNA	SUSANA
SUSANNAH	SUE
SUSANNAH	SUKEY
SUSANNAH	SUSAN
SUSANNAH	SUSIE
SUSANNAH	SUZANNE
SYLVANUS	SLY
SYLVANUS	SYL
SYLVESTER	SLY
SYLVESTER	SYL
SYLVESTER	VEST
SYLVESTER	VESTER
TABITHA	TABBY
TAMARA	TAMMIE
TAMARA	TAMMY
TAMARRA	TAMMIE
TAMARRA	TAMMY
TAMARRA	TAMMY
TAMMIE	TAMMY
TAMMY	TAMMIE
TANNER	TANNY
TASHA	TASH
TASHA	TASHIE
TEMPERANCE	TEMPY
TERENCE	TERRY
TERESA	TERRY
TERESA	TESS
TERESA	TESSIE
TERRENCE	TESSA
TERRENCE	TESSIE
THADDEUS	TAD
THADDEUS	THAD
THEODORA	DORA
THEODORE	TED
THEODORE	THEO
THEODOSIA	DOSIA
THEODOSIA	THEO
THERESA	TERRY
THERESA	TESS
THERESA	TESSIE
THERESA	THURSA
THERESA	TICY
THERESA	TRACY
THERESA	TRISSY
THOMAS	THOM
THOMAS	THOS
THOMAS	TOM
THOMAS	TOMMIE
THOMAS	TOMMY
THOMAS	TOMMYE
THOMAS	TOMY
TIMOTHY	TIM
TIMOTHY	TIMMY
TOBIAS	BIAS
TOBIAS	TOBE
TOBIAS	TOBIE
TOBIAS	TOBY
TOLINDA	LINDA
TULLY	TULLIE
TYRONE	TY
VALENTINA	TINA
VALENTINA	VAL
VALERIE	VAL
VALERIE	VALLIE
VANCE	VANCIE
VANESSA	NESSA
VANESSA	VAN
VANESSA	VANNIE
VERNISEE	NICEY
VERNON	VERN
VERNON	VERNE
VERNON	VERNIE
VERONICA	FRANKY
VERONICA	RONNA
VERONICA	RONNIE
VERONICA	VONNIE
VICTOR	VIC
VICTOR	VICK
VICTORIA	TORRIE
VICTORIA	TORY
VICTORIA	VICKI
VICTORIA	VICKIE
VICTORIA	VICKY
VINCENT	VIN
VINCENT	VINCE
VINCENT	VINNIE
VINCENT	VINNY
VIOLA	VI
VIRGIL	VIRGIE
VIRGINIA	GINGER
VIRGINIA	GINNY
VIRGINIA	JINIE
VIRGINIA	VIRGIE
VIVIAN	VI
VIVIAN	VIV
WALDO	OSWALD
WALLACE	WALLEY
WALLACE	WALLIE
WALLACE	WALLY
WALTER	WALT
WALTER	WAT
WARNER	WARNIE
WASHINGTON	WASH
WEBSTER	WEBB
WESLEY	WES
WESLEY	WESS
WHITMAN	WHIT
WILBER	WIB
WILBUR	WIB
WILFRED	WILLIA
WILHELMINA	HELMIA
WILHELMINA	MINA
WILHELMINA	MINNIE
WILHELMINA	WILLIE
WILHELMINA	WILMA
WILLIAM	BILL
WILLIAM	BILLIE
WILLIAM	BILLY
WILLIAM	WIL
WILLIAM	WILEY
WILLIAM	WILIE
WILLIAM	WILL
WILLIAM	WILLI
WILLIAM	WILLIE
WILLIAM	WILLY
WILLIAM	WM
WILLIS	BILL
WILLIS	WILLY
WINDIELD	FIELD
WINDIELD	WIN
WINDIELD	WINNY
WINIFRED	WINNET
WINIFRED	WINNIE
WINTON	WINT
WOODROW	WOODIE
WOODROW	WOODY
YULAN	LAN
YULAN	YUL
ZACHARIAH	ZACH
ZACHARIAH	ZACHARIAS
ZACHARIAH	ZACHARY
ZACHARIAH	ZEKE
ZACHARY	ZACH
ZACHARY	ZACK
ZADOCK	DICK
ZADOCK	DOCK
ZADOCK	ZED
ZEBULON	LON
ZEBULON	ZEB
ZEDEDIAH	ZED
ZELPHIA	ZEL
ZELPHIA	ZELLA
ZELPHIA	ZELPHY
